Series Name,Series Code,Level,Level2,Country Name,Country Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013]
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,Mozambique,,Maputo City,MZ.MC,..,..,..,..,36.15,..,..,..,..,..
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,Mozambique,,Niassa,MZ.NS,..,..,..,..,31.93,..,..,..,..,..
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,Mozambique,,Tete,MZ.TE,..,..,..,..,42,..,..,..,..,..
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,Nigeria,,Abia,NG.AB,26.45199,..,..,..,..,..,31.13873,..,..,..
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,Nigeria,,Abuja,NG.FC,35.32925,..,..,..,..,..,30.86045,..,..,..
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,Nigeria,,Adamawa,NG.AD,62.29643,..,..,..,..,..,65.16787,..,..,..
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,Nigeria,,Akwa Ibom,NG.AK,38.88462,..,..,..,..,..,34.99797,..,..,..
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,Nigeria,,Anambra,NG.AN,23.02036,..,..,..,..,..,29.53582,..,..,..
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,Nigeria,,Bauchi,NG.BA,75.6655,..,..,..,..,..,65.77486,..,..,..
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,Nigeria,,Bayelsa,NG.BY,28.33171,..,..,..,..,..,28.70387,..,..,..
